39,2	0	62,5	NAN
39,3	0	62,5	NAN
39,4	0	63	NAN
39,5	-0,0015	63	NAN
39,6	0,0015	62,5	NAN
39,7	0	62,5	NAN
39,8	0	62,5	NAN
39,9	0	62,5	NAN
40	0	62,5	NAN
40,1	0	62,5	NAN
40,2	0,0015	62,5	NAN
40,3	0	62,5	NAN
40,4	0	62,5	NAN
40,5	-0,0015	62,5	NAN
40,6	0	62,5	NAN
40,7	0	62,5	NAN
40,8	0	62,5	NAN
40,9	0	62,5	NAN
41	0	62,5	NAN
41,1	0	62,5	NAN
41,2	-0,0015	62,5	NAN
41,3	-0,0015	63	NAN
41,4	0,0015	62,5	NAN
41,5	0	62,5	NAN
41,6	0	62,5	NAN
41,7	0	62,5	NAN
41,8	0	62,5	NAN
41,9	0	62,5	NAN
42	-0,0015	62,5	NAN
42,1	0	62,5	NAN
42,2	0	62,5	NAN
42,3	0	62,5	NAN
42,4	0	62,5	NAN
42,5	0	62,5	NAN
42,6	-0,0015	62,5	NAN
42,7	0	62,5	NAN
42,8	0	63	NAN
42,9	0	62,5	NAN
43	0	62,5	NAN
43,1	0	62,5	NAN
43,2	0	62,5	NAN
43,3	0	62,5	NAN
43,4	-0,0015	62,5	NAN
43,5	0	62,5	NAN
43,6	0	62,5	NAN
43,7	0	62,5	NAN
43,8	0	62,5	NAN
43,9	0	62,5	NAN
44	-0,0015	62,5	NAN
44,1	-0,0015	63	NAN
44,2	0	62,5	NAN
44,3	0	63	NAN
44,4	0	62,5	NAN
44,5	0	62,5	NAN
44,6	0	62,5	NAN
44,7	0	62,5	NAN
44,8	0	62,5	NAN
44,9	0	62,5	NAN
45	0	62,5	NAN
45,1	-0,0015	62,5	NAN
45,2	0,0015	62,5	NAN
45,3	-0,0015	62,5	NAN
45,4	0	62,5	NAN
45,5	-0,0015	62,5	NAN
45,6	0	62,5	NAN
45,7	0	62,5	NAN
45,8	0	62,5	NAN
45,9	-0,0015	62,5	NAN
46	-0,0015	62,5	NAN
46,1	-0,0015	62,5	NAN
46,2	0,0015	62,5	NAN
46,3	0,0015	62,5	NAN
46,4	0	62,5	NAN
46,5	-0,0015	62,5	NAN
46,6	0	62,5	NAN
46,7	0	62,5	NAN
46,8	0	62,5	NAN
46,9	0	62,5	NAN
47	0,0015	63	NAN
47,1	0	62,5	NAN
47,2	0,0015	62,5	NAN
47,3	0,0015	62,5	NAN
47,4	-0,0015	62,5	NAN
47,5	-0,0015	62,5	NAN
47,6	-0,0015	62,5	NAN
47,7	0	62,5	NAN
47,8	0	63	NAN
47,9	0	62,5	NAN
48	0	62,5	NAN
48,1	0,0015	62,5	NAN
48,2	0,0015	62,5	NAN
48,3	0	62,5	NAN
48,4	0	62,5	NAN
48,5	0	62,5	NAN
48,6	0	62,5	NAN
48,7	0,0015	62,5	NAN
48,8	0	63	NAN
48,9	0	62,5	NAN
49	-0,0015	62,5	NAN
49,1	-0,0015	62,5	NAN
49,2	0	62,5	NAN
49,3	0,0015	62,5	NAN
49,4	0,0015	62,5	NAN
49,5	0	62,5	NAN
49,6	0	62,5	NAN
49,7	0	62,5	NAN
49,8	0	62,5	NAN
49,9	0	62,5	NAN
50	0,0015	62,5	NAN
50,1	0	62,5	NAN
50,2	0	62,5	NAN
50,3	-0,0015	62,5	NAN
50,4	0	62,5	NAN
50,5	0	62,5	NAN
50,6	0,0015	62,5	NAN
50,7	0	62,5	NAN
50,8	-0,0015	62,5	NAN
50,9	-0,0015	63	NAN
51	0	62,5	NAN
51,1	-0,0015	62,5	NAN
51,2	0	62,5	NAN
51,3	0	62,5	NAN
51,4	0	62,5	NAN
51,5	0	62,5	NAN
51,6	0	62,5	NAN
51,7	0	62,5	NAN
51,8	0	62,5	NAN
51,9	0,0015	62,5	NAN
52	0	62,5	NAN
52,1	0	62,5	NAN
52,2	0	62,5	NAN
52,3	0	62,5	NAN
52,4	0,0015	62,5	NAN
52,5	0,0015	62,5	NAN
52,6	0	62,5	NAN
52,7	-0,0015	62,5	NAN
52,8	0,0015	62,5	NAN
52,9	0	62,5	NAN
53	-0,0015	62,5	NAN
53,1	-0,0015	62,5	NAN
53,2	0,0015	62,5	NAN
53,3	0	62,5	NAN
53,4	0	62,5	NAN
53,5	0,0015	62,5	NAN
53,6	0	62,5	NAN
53,7	0	63	NAN
53,8	0	62,5	NAN
53,9	0,0015	62,5	NAN
54	0	62,5	NAN
54,1	0	62,5	NAN
54,2	0	62,5	NAN
54,3	0	62,5	NAN
54,4	-0,0015	62,5	NAN
54,5	0	62,5	NAN
54,6	-0,0015	62,5	NAN
54,7	0	62,5	NAN
54,8	0	62,5	NAN
54,9	0	62,5	NAN
55	0	62,5	NAN
55,1	-0,0015	63	NAN
55,2	0,0015	62,5	NAN
55,3	-0,0015	62,5	NAN
55,4	0,0015	62,5	NAN
55,5	0	62,5	NAN
55,6	0	62,5	NAN
55,7	0,0015	62,5	NAN
55,8	0,018	59,5	NAN
55,9	0,0195	57	NAN
56	0,027	54	NAN
56,1	0,027	52,5	NAN
56,2	0,0285	51,5	NAN
56,3	0,0255	51	NAN
56,4	0,027	51	NAN
56,5	0,027	50,5	NAN
56,6	0,027	50,5	NAN
56,7	0,027	50,5	NAN
56,8	0,027	50,5	NAN
56,9	0,027	50,5	NAN
57	0,027	50,5	NAN
57,1	0,0285	50,5	NAN
